geoid,tactile_paving,wheelchair,ramp_kerb,traffic_signals_sound,Video_ID,Sign_Label,Bounding_Box_Coords,Landmark_Keypoints,HTML_Snippet,WCAG_Violation
node_40691,no,yes,lowered,no,vid_0116,danger,"[0.39, 0.41, 0.26, 0.21]","[[0.064, 0.519, 0.017], [0.833, 0.726, 0.062], [0.438, 0.829, 0.008]]",<input type='text' placeholder='Search'>,Missing_Form_Label
node_36235,no,no,no,no,vid_0117,thank_you,"[0.35, 0.26, 0.38, 0.45]","[[0.918, 0.638, 0.07], [0.196, 0.209, -0.01], [0.925, 0.03, 0.086]]",<input type='text' placeholder='Search'>,Missing_Form_Label
node_90405,no,no,yes,no,vid_0118,hello,"[0.16, 0.46, 0.22, 0.36]","[[0.34, 0.296, -0.034], [0.206, 0.073, 0.096], [0.851, 0.128, -0.046]]",<button>Submit</button>,None
node_73323,yes,yes,no,yes,vid_0119,stop,"[0.31, 0.1, 0.18, 0.46]","[[0.016, 0.21, 0.065], [0.698, 0.954, -0.012], [0.972, 0.982, 0.001]]",<span style='color:#ccc;background:#fff'>Text</span>,Low_Contrast
node_52401,yes,limited,no,yes,vid_0120,no,"[0.56, 0.18, 0.27, 0.23]","[[0.694, 0.681, 0.033], [0.995, 0.768, 0.038], [0.635, 0.104, 0.067]]",<input type='text' placeholder='Search'>,Missing_Form_Label
node_21583,yes,no,flush,yes,vid_0121,no,"[0.52, 0.14, 0.24, 0.42]","[[0.116, 0.081, 0.039], [0.037, 0.09, 0.071], [0.755, 0.36, 0.069]]",<a href='#' class='btn'>Click</a>,Missing_Aria_Label
node_78092,yes,limited,flush,yes,vid_0122,danger,"[0.25, 0.48, 0.2, 0.29]","[[0.339, 0.811, -0.073], [0.732, 0.988, -0.087], [0.957, 0.983, 0.072]]",<img src='logo.svg' alt='Company Logo'>,None
node_89762,no,no,lowered,no,vid_0123,stop,"[0.4, 0.25, 0.21, 0.43]","[[0.849, 0.414, -0.075], [0.185, 0.065, 0.064], [0.929, 0.273, -0.026]]",<input type='text' placeholder='Search'>,Missing_Form_Label
node_52045,yes,limited,lowered,yes,vid_0124,stop,"[0.23, 0.18, 0.35, 0.31]","[[0.377, 0.606, 0.039], [0.838, 0.802, 0.035], [0.563, 0.582, -0.022]]",<img src='map.png'>,Missing_Alt_Text
node_19025,no,limited,flush,yes,vid_0125,danger,"[0.3, 0.28, 0.23, 0.47]","[[0.732, 0.153, -0.095], [0.955, 0.185, -0.004], [0.788, 0.32, 0.058]]",<input type='text' placeholder='Search'>,Missing_Form_Label
node_50760,no,yes,yes,no,vid_0126,stop,"[0.15, 0.34, 0.36, 0.35]","[[0.744, 0.82, 0.006], [0.963, 0.029, 0.089], [0.446, 0.339, 0.087]]",<button>Submit</button>,None
node_81744,no,no,flush,no,vid_0127,train,"[0.47, 0.41, 0.22, 0.43]","[[0.599, 0.437, -0.007], [0.053, 0.869, -0.069], [0.713, 0.587, 0.041]]",<img src='logo.svg' alt='Company Logo'>,None
node_85222,no,yes,lowered,no,vid_0128,no,"[0.17, 0.12, 0.22, 0.21]","[[0.787, 0.21, 0.007], [0.128, 0.298, 0.082], [0.146, 0.831, -0.065]]",<a href='#' class='btn'>Click</a>,Missing_Aria_Label
node_97468,no,yes,no,no,vid_0129,hello,"[0.19, 0.34, 0.24, 0.48]","[[0.345, 0.612, 0.098], [0.857, 0.866, -0.047], [0.265, 0.63, 0.027]]",<img src='map.png'>,Missing_Alt_Text
node_51920,no,limited,flush,no,vid_0130,train,"[0.57, 0.21, 0.26, 0.38]","[[0.206, 0.504, -0.014], [0.506, 0.761, 0.005], [0.159, 0.746, 0.064]]",<div onclick='submit()'>Send</div>,Keyboard_Trap
node_43787,incorrect,no,flush,no,vid_0131,hello,"[0.58, 0.1, 0.26, 0.45]","[[0.153, 0.298, 0.046], [0.38, 0.386, -0.071], [0.454, 0.721, 0.082]]",<a href='#' class='btn'>Click</a>,Missing_Aria_Label
node_48908,yes,yes,no,no,vid_0132,train,"[0.5, 0.33, 0.4, 0.27]","[[0.567, 0.89, -0.037], [0.592, 0.053, 0.073], [0.377, 0.288, 0.051]]",<button>Submit</button>,None
node_49179,no,yes,lowered,no,vid_0133,no,"[0.56, 0.12, 0.37, 0.48]","[[0.235, 0.413, 0.089], [0.662, 0.02, -0.086], [0.62, 0.692, -0.003]]",<img src='logo.svg' alt='Company Logo'>,None
node_36592,yes,yes,no,no,vid_0134,bus,"[0.2, 0.37, 0.32, 0.45]","[[0.095, 0.64, 0.084], [0.358, 0.836, -0.013], [0.946, 0.723, -0.056]]",<input type='text' placeholder='Search'>,Missing_Form_Label
node_55328,no,yes,lowered,yes,vid_0135,no,"[0.21, 0.21, 0.36, 0.35]","[[0.438, 0.593, 0.081], [0.065, 0.419, 0.099], [0.047, 0.875, 0.088]]",<div onclick='submit()'>Send</div>,Keyboard_Trap
node_78837,yes,yes,flush,no,vid_0136,stop,"[0.25, 0.36, 0.2, 0.27]","[[0.541, 0.18, -0.079], [0.324, 0.684, 0.07], [0.542, 0.064, 0.099]]",<input type='text' placeholder='Search'>,Missing_Form_Label
node_37408,no,limited,no,no,vid_0137,thank_you,"[0.39, 0.26, 0.3, 0.27]","[[0.119, 0.411, -0.084], [0.067, 0.035, 0.018], [0.456, 0.102, -0.017]]",<a href='#' class='btn'>Click</a>,Missing_Aria_Label
node_48924,incorrect,limited,yes,no,vid_0138,hospital,"[0.21, 0.14, 0.32, 0.22]","[[0.531, 0.902, 0.095], [0.907, 0.105, -0.079], [0.804, 0.828, 0.027]]",<img src='logo.svg' alt='Company Logo'>,None
node_51171,no,no,lowered,no,vid_0139,train,"[0.58, 0.48, 0.2, 0.23]","[[0.554, 0.62, -0.074], [0.779, 0.45, -0.013], [0.525, 0.178, -0.039]]",<div onclick='submit()'>Send</div>,Keyboard_Trap
node_92941,yes,limited,lowered,no,vid_0140,thank_you,"[0.21, 0.24, 0.22, 0.3]","[[0.237, 0.616, 0.068], [0.65, 0.988, 0.032], [0.479, 0.476, 0.006]]",<img src='map.png'>,Missing_Alt_Text
node_55996,yes,yes,no,no,vid_0141,thank_you,"[0.42, 0.36, 0.37, 0.47]","[[0.05, 0.877, 0.019], [0.355, 0.902, 0.091], [0.856, 0.686, -0.069]]",<input type='text' placeholder='Search'>,Missing_Form_Label
node_15223,yes,limited,yes,yes,vid_0142,train,"[0.52, 0.15, 0.3, 0.47]","[[0.55, 0.358, 0.084], [0.689, 0.251, 0.008], [0.721, 0.979, 0.008]]",<a href='#' class='btn'>Click</a>,Missing_Aria_Label
node_68342,yes,yes,no,no,vid_0143,danger,"[0.34, 0.46, 0.25, 0.24]","[[0.207, 0.9, -0.082], [0.501, 0.055, -0.014], [0.747, 0.418, 0.092]]",<div onclick='submit()'>Send</div>,Keyboard_Trap
node_44221,incorrect,yes,yes,no,vid_0144,help,"[0.48, 0.33, 0.29, 0.27]","[[0.239, 0.685, 0.052], [0.924, 0.082, 0.065], [0.957, 0.799, 0.038]]",<a href='#' class='btn'>Click</a>,Missing_Aria_Label
node_94598,incorrect,no,no,no,vid_0145,thank_you,"[0.52, 0.12, 0.31, 0.32]","[[0.447, 0.741, -0.096], [0.988, 0.068, 0.099], [0.215, 0.779, -0.075]]",<img src='logo.svg' alt='Company Logo'>,None
node_46348,no,no,yes,yes,vid_0146,yes,"[0.58, 0.42, 0.21, 0.5]","[[0.792, 0.005, -0.06], [0.77, 0.321, 0.002], [0.273, 0.57, 0.085]]",<button>Submit</button>,None
node_57657,no,no,yes,no,vid_0147,bus,"[0.48, 0.42, 0.36, 0.37]","[[0.079, 0.299, -0.066], [0.489, 0.042, 0.02], [0.665, 0.588, 0.008]]",<div onclick='submit()'>Send</div>,Keyboard_Trap
node_36319,no,limited,yes,yes,vid_0148,hospital,"[0.33, 0.38, 0.38, 0.33]","[[0.118, 0.39, 0.098], [0.563, 0.531, 0.099], [0.959, 0.711, -0.071]]",<a href='#' class='btn'>Click</a>,Missing_Aria_Label
node_19755,no,no,flush,no,vid_0149,hospital,"[0.56, 0.25, 0.33, 0.29]","[[0.83, 0.034, 0.059], [0.631, 0.395, -0.05], [0.611, 0.85, 0.097]]",<input type='text' placeholder='Search'>,Missing_Form_Label
node_53956,yes,limited,yes,yes,vid_0150,no,"[0.31, 0.12, 0.24, 0.36]","[[0.674, 0.92, -0.024], [0.455, 0.93, -0.077], [0.249, 0.522, 0.054]]",<img src='map.png'>,Missing_Alt_Text
node_67556,yes,yes,lowered,no,vid_0151,train,"[0.22, 0.49, 0.24, 0.37]","[[0.555, 0.114, -0.037], [0.713, 0.486, 0.067], [0.919, 0.445, 0.033]]",<span style='color:#ccc;background:#fff'>Text</span>,Low_Contrast
node_68958,no,no,lowered,yes,vid_0152,hospital,"[0.36, 0.25, 0.22, 0.23]","[[0.586, 0.657, 0.053], [0.015, 0.957, 0.075], [0.912, 0.408, -0.066]]",<img src='map.png'>,Missing_Alt_Text
node_44214,no,no,yes,no,vid_0153,no,"[0.18, 0.24, 0.36, 0.5]","[[0.91, 0.517, 0.05], [0.049, 0.353, 0.094], [0.284, 0.916, 0.007]]",<button>Submit</button>,None
node_28882,no,yes,flush,no,vid_0154,bus,"[0.49, 0.11, 0.35, 0.37]","[[0.947, 0.147, -0.035], [0.843, 0.923, 0.056], [0.492, 0.554, 0.02]]",<input type='text' placeholder='Search'>,Missing_Form_Label
node_77365,yes,yes,yes,yes,vid_0155,train,"[0.42, 0.23, 0.28, 0.24]","[[0.604, 0.337, -0.023], [0.702, 0.022, 0.036], [0.1, 0.009, 0.081]]",<a href='#' class='btn'>Click</a>,Missing_Aria_Label
node_71163,yes,yes,yes,yes,vid_0156,thank_you,"[0.56, 0.23, 0.28, 0.37]","[[0.842, 0.565, -0.021], [0.996, 0.919, -0.059], [0.224, 0.052, -0.026]]",<input type='text' placeholder='Search'>,Missing_Form_Label
node_14062,no,no,no,no,vid_0157,train,"[0.2, 0.4, 0.2, 0.33]","[[0.66, 0.355, 0.003], [0.456, 0.665, -0.081], [0.812, 0.16, -0.006]]",<input type='text' placeholder='Search'>,Missing_Form_Label
node_91550,no,limited,yes,yes,vid_0158,thank_you,"[0.24, 0.3, 0.22, 0.39]","[[0.313, 0.64, 0.058], [0.089, 0.084, -0.036], [0.466, 0.268, -0.043]]",<div onclick='submit()'>Send</div>,Keyboard_Trap
node_70998,no,no,flush,no,vid_0159,train,"[0.57, 0.37, 0.24, 0.24]","[[0.878, 0.559, 0.065], [0.286, 0.051, 0.036], [0.251, 0.038, 0.005]]",<img src='map.png'>,Missing_Alt_Text
node_63784,yes,yes,yes,yes,vid_0160,danger,"[0.25, 0.39, 0.37, 0.34]","[[0.124, 0.107, -0.028], [0.215, 0.31, -0.065], [0.63, 0.136, -0.002]]",<span style='color:#ccc;background:#fff'>Text</span>,Low_Contrast
node_62185,yes,yes,yes,no,vid_0161,danger,"[0.32, 0.43, 0.23, 0.34]","[[0.645, 0.641, 0.027], [0.465, 0.271, -0.063], [0.807, 0.461, -0.008]]",<span style='color:#ccc;background:#fff'>Text</span>,Low_Contrast
node_64809,no,yes,flush,no,vid_0162,hospital,"[0.36, 0.35, 0.28, 0.34]","[[0.647, 0.54, -0.054], [0.93, 0.207, -0.058], [0.605, 0.665, 0.061]]",<a href='#' class='btn'>Click</a>,Missing_Aria_Label
node_38419,yes,limited,yes,no,vid_0163,hospital,"[0.31, 0.45, 0.36, 0.46]","[[0.497, 0.279, 0.053], [0.108, 0.03, -0.077], [0.142, 0.663, 0.029]]",<input type='text' placeholder='Search'>,Missing_Form_Label
node_14871,yes,yes,yes,no,vid_0164,stop,"[0.42, 0.43, 0.35, 0.3]","[[0.014, 0.305, -0.038], [0.751, 0.029, 0.093], [0.408, 0.299, 0.042]]",<button>Submit</button>,None
node_49917,yes,yes,lowered,no,vid_0165,danger,"[0.19, 0.31, 0.37, 0.4]","[[0.679, 0.609, -0.085], [0.81, 0.559, 0.035], [0.467, 0.875, -0.058]]",<a href='#' class='btn'>Click</a>,Missing_Aria_Label
node_14465,incorrect,no,no,no,vid_0166,danger,"[0.37, 0.45, 0.2, 0.32]","[[0.315, 0.269, -0.035], [0.3, 0.483, 0.021], [0.527, 0.157, 0.014]]",<button>Submit</button>,None
node_84151,yes,no,no,yes,vid_0167,thank_you,"[0.3, 0.24, 0.38, 0.34]","[[0.706, 0.814, 0.019], [0.199, 0.959, -0.021], [0.891, 0.132, -0.032]]",<img src='logo.svg' alt='Company Logo'>,None
node_19069,no,limited,flush,yes,vid_0168,hospital,"[0.2, 0.34, 0.21, 0.49]","[[0.167, 0.819, -0.033], [0.191, 0.839, 0.096], [0.925, 0.205, 0.001]]",<div onclick='submit()'>Send</div>,Keyboard_Trap
node_49647,no,no,flush,no,vid_0169,thank_you,"[0.16, 0.4, 0.39, 0.32]","[[0.297, 0.188, 0.027], [0.626, 0.471, 0.084], [0.676, 0.969, -0.049]]",<button>Submit</button>,None
node_83335,no,limited,no,no,vid_0170,stop,"[0.42, 0.35, 0.39, 0.44]","[[0.682, 0.446, -0.089], [0.232, 0.229, 0.059], [0.094, 0.48, -0.043]]",<div onclick='submit()'>Send</div>,Keyboard_Trap
node_15741,no,no,flush,no,vid_0171,yes,"[0.12, 0.31, 0.29, 0.25]","[[0.217, 0.142, -0.041], [0.825, 0.161, -0.087], [0.126, 0.669, -0.022]]",<span style='color:#ccc;background:#fff'>Text</span>,Low_Contrast
node_45380,no,no,yes,no,vid_0172,thank_you,"[0.58, 0.26, 0.26, 0.33]","[[0.148, 0.223, 0.0], [0.844, 0.793, -0.095], [0.098, 0.089, 0.042]]",<img src='map.png'>,Missing_Alt_Text
node_49322,no,no,yes,no,vid_0173,hello,"[0.58, 0.2, 0.31, 0.34]","[[0.809, 0.458, -0.008], [0.242, 0.321, 0.085], [0.079, 0.714, 0.06]]",<img src='logo.svg' alt='Company Logo'>,None
node_17384,yes,limited,no,no,vid_0174,hospital,"[0.21, 0.39, 0.34, 0.33]","[[0.499, 0.718, -0.054], [0.881, 0.281, 0.088], [0.745, 0.292, -0.015]]",<span style='color:#ccc;background:#fff'>Text</span>,Low_Contrast
node_81996,yes,no,yes,no,vid_0175,thank_you,"[0.5, 0.2, 0.36, 0.47]","[[0.207, 0.231, -0.099], [0.935, 0.8, -0.027], [0.301, 0.764, -0.034]]",<img src='logo.svg' alt='Company Logo'>,None
node_25808,yes,limited,yes,yes,vid_0176,yes,"[0.37, 0.43, 0.23, 0.4]","[[0.464, 0.517, 0.039], [0.515, 0.863, -0.057], [0.913, 0.174, -0.097]]",<img src='map.png'>,Missing_Alt_Text
node_47054,no,yes,no,no,vid_0177,danger,"[0.3, 0.34, 0.3, 0.28]","[[0.245, 0.031, 0.089], [0.297, 0.537, -0.091], [0.193, 0.733, 0.002]]",<img src='map.png'>,Missing_Alt_Text
node_27329,no,yes,yes,no,vid_0178,no,"[0.11, 0.42, 0.3, 0.23]","[[0.398, 0.625, 0.094], [0.154, 0.952, 0.043], [0.913, 0.413, -0.044]]",<button>Submit</button>,None
node_82651,yes,no,lowered,yes,vid_0179,help,"[0.21, 0.31, 0.35, 0.37]","[[0.903, 0.521, 0.038], [0.788, 0.446, -0.035], [0.282, 0.767, 0.091]]",<input type='text' placeholder='Search'>,Missing_Form_Label
node_25794,yes,no,no,no,vid_0180,yes,"[0.12, 0.38, 0.17, 0.44]","[[0.232, 0.879, 0.064], [0.764, 0.803, 0.043], [0.602, 0.975, 0.081]]",<a href='#' class='btn'>Click</a>,Missing_Aria_Label
node_23039,yes,yes,yes,no,vid_0181,yes,"[0.46, 0.23, 0.18, 0.44]","[[0.957, 0.093, -0.045], [0.321, 0.016, 0.023], [0.399, 0.368, 0.07]]",<img src='logo.svg' alt='Company Logo'>,None
node_37686,no,limited,yes,no,vid_0182,hello,"[0.49, 0.36, 0.25, 0.29]","[[0.466, 0.609, 0.034], [0.476, 0.851, 0.06], [0.279, 0.434, 0.068]]",<button>Submit</button>,None
node_26280,no,yes,lowered,no,vid_0183,yes,"[0.34, 0.3, 0.17, 0.22]","[[0.152, 0.366, 0.026], [0.889, 0.159, 0.008], [0.583, 0.311, 0.077]]",<div onclick='submit()'>Send</div>,Keyboard_Trap
node_43930,yes,yes,flush,no,vid_0184,stop,"[0.11, 0.34, 0.34, 0.44]","[[0.253, 0.29, -0.085], [0.109, 0.719, -0.027], [0.233, 0.727, 0.061]]",<img src='logo.svg' alt='Company Logo'>,None
node_12991,no,no,flush,no,vid_0185,no,"[0.41, 0.17, 0.38, 0.27]","[[0.553, 0.927, 0.039], [0.402, 0.954, 0.062], [0.697, 0.906, 0.081]]",<img src='map.png'>,Missing_Alt_Text
node_44985,yes,no,yes,yes,vid_0186,no,"[0.52, 0.18, 0.28, 0.25]","[[0.09, 0.713, -0.037], [0.13, 0.859, 0.077], [0.243, 0.5, -0.049]]",<button>Submit</button>,None
node_58928,yes,yes,flush,no,vid_0187,no,"[0.44, 0.19, 0.28, 0.34]","[[0.061, 0.064, 0.099], [0.359, 0.242, -0.02], [0.83, 0.003, 0.02]]",<span style='color:#ccc;background:#fff'>Text</span>,Low_Contrast
node_89318,no,limited,yes,no,vid_0188,stop,"[0.29, 0.42, 0.16, 0.48]","[[0.399, 0.085, -0.08], [0.575, 0.969, -0.043], [0.649, 0.653, 0.023]]",<input type='text' placeholder='Search'>,Missing_Form_Label
node_37319,no,no,yes,no,vid_0189,danger,"[0.19, 0.16, 0.32, 0.39]","[[0.549, 0.763, 0.009], [0.97, 0.765, 0.014], [0.234, 0.098, -0.04]]",<span style='color:#ccc;background:#fff'>Text</span>,Low_Contrast
node_64191,yes,yes,flush,no,vid_0190,stop,"[0.21, 0.34, 0.34, 0.5]","[[0.691, 0.585, 0.076], [0.259, 0.184, -0.061], [0.529, 0.6, -0.017]]",<button>Submit</button>,None
node_98345,no,yes,yes,no,vid_0191,bus,"[0.19, 0.44, 0.15, 0.36]","[[0.249, 0.472, 0.076], [0.244, 0.776, 0.043], [0.97, 0.048, 0.095]]",<img src='map.png'>,Missing_Alt_Text
node_30087,no,yes,flush,no,vid_0192,stop,"[0.49, 0.2, 0.24, 0.36]","[[0.797, 0.736, -0.067], [0.017, 0.343, -0.021], [0.624, 0.461, -0.006]]",<img src='logo.svg' alt='Company Logo'>,None
node_63008,no,no,no,no,vid_0193,stop,"[0.43, 0.18, 0.22, 0.35]","[[0.381, 0.674, -0.068], [0.515, 0.103, -0.035], [0.481, 0.139, -0.088]]",<img src='logo.svg' alt='Company Logo'>,None
node_53021,no,yes,flush,no,vid_0194,yes,"[0.23, 0.13, 0.29, 0.41]","[[0.267, 0.512, -0.001], [0.336, 0.983, -0.074], [0.414, 0.055, -0.018]]",<input type='text' placeholder='Search'>,Missing_Form_Label
node_73204,yes,yes,yes,no,vid_0195,stop,"[0.12, 0.12, 0.23, 0.35]","[[0.836, 0.345, 0.083], [0.331, 0.219, -0.043], [0.412, 0.979, -0.012]]",<input type='text' placeholder='Search'>,Missing_Form_Label
node_28307,yes,yes,flush,no,vid_0196,thank_you,"[0.21, 0.23, 0.21, 0.35]","[[0.91, 0.733, -0.08], [0.06, 0.395, 0.036], [0.059, 0.74, 0.06]]",<a href='#' class='btn'>Click</a>,Missing_Aria_Label
node_73748,yes,limited,no,no,vid_0197,yes,"[0.1, 0.46, 0.23, 0.27]","[[0.529, 0.773, -0.027], [0.206, 0.694, -0.085], [0.892, 0.112, 0.008]]",<input type='text' placeholder='Search'>,Missing_Form_Label
node_99811,no,limited,flush,yes,vid_0198,train,"[0.47, 0.1, 0.16, 0.35]","[[0.402, 0.895, -0.028], [0.703, 0.049, 0.045], [0.299, 0.838, 0.06]]",<input type='text' placeholder='Search'>,Missing_Form_Label
node_14283,yes,limited,flush,no,vid_0199,train,"[0.15, 0.22, 0.35, 0.41]","[[0.861, 0.138, -0.015], [0.344, 0.932, -0.098], [0.53, 0.822, 0.031]]",<img src='logo.svg' alt='Company Logo'>,None
node_44246,no,no,no,no,vid_0200,train,"[0.26, 0.37, 0.23, 0.25]","[[0.744, 0.626, -0.032], [0.241, 0.138, -0.089], [0.061, 0.021, 0.037]]",<div onclick='submit()'>Send</div>,Keyboard_Trap
node_55417,incorrect,limited,flush,no,vid_0201,thank_you,"[0.56, 0.3, 0.23, 0.42]","[[0.535, 0.171, -0.085], [0.455, 0.042, -0.019], [0.969, 0.29, 0.012]]",<input type='text' placeholder='Search'>,Missing_Form_Label
node_46913,yes,yes,flush,no,vid_0202,thank_you,"[0.27, 0.46, 0.39, 0.3]","[[0.158, 0.028, -0.096], [0.462, 0.03, -0.008], [0.615, 0.753, 0.023]]",<span style='color:#ccc;background:#fff'>Text</span>,Low_Contrast
node_21158,yes,no,no,no,vid_0203,help,"[0.15, 0.2, 0.37, 0.26]","[[0.554, 0.424, 0.096], [0.329, 0.136, 0.009], [0.73, 0.456, -0.056]]",<div onclick='submit()'>Send</div>,Keyboard_Trap
node_34627,no,yes,no,no,vid_0204,thank_you,"[0.55, 0.1, 0.22, 0.46]","[[0.99, 0.819, -0.098], [0.419, 0.05, -0.051], [0.705, 0.669, 0.076]]",<a href='#' class='btn'>Click</a>,Missing_Aria_Label
node_91074,yes,no,yes,no,vid_0205,bus,"[0.14, 0.4, 0.26, 0.36]","[[0.533, 0.872, 0.046], [0.038, 0.77, 0.092], [0.013, 0.11, -0.007]]",<img src='logo.svg' alt='Company Logo'>,None
node_11912,no,yes,lowered,no,vid_0206,bus,"[0.25, 0.35, 0.16, 0.28]","[[0.887, 0.336, -0.03], [0.599, 0.965, -0.029], [0.847, 0.507, -0.092]]",<img src='logo.svg' alt='Company Logo'>,None
node_85572,no,no,no,no,vid_0207,help,"[0.57, 0.36, 0.16, 0.22]","[[0.148, 0.77, -0.006], [0.502, 0.92, 0.037], [0.904, 0.199, -0.01]]",<div onclick='submit()'>Send</div>,Keyboard_Trap
node_14446,no,limited,no,no,vid_0208,bus,"[0.21, 0.43, 0.24, 0.42]","[[0.521, 0.847, 0.057], [0.951, 0.32, -0.063], [0.945, 0.782, -0.031]]",<button>Submit</button>,None
node_69320,incorrect,yes,flush,no,vid_0209,thank_you,"[0.4, 0.13, 0.2, 0.45]","[[0.857, 0.393, 0.041], [0.256, 0.649, -0.077], [0.73, 0.621, -0.023]]",<button>Submit</button>,None
node_32784,yes,yes,yes,no,vid_0210,danger,"[0.29, 0.27, 0.31, 0.31]","[[0.241, 0.07, -0.025], [0.014, 0.197, 0.044], [0.421, 0.032, 0.069]]",<span style='color:#ccc;background:#fff'>Text</span>,Low_Contrast
node_61971,no,no,flush,no,vid_0211,danger,"[0.16, 0.27, 0.25, 0.34]","[[0.03, 0.55, 0.005], [0.588, 0.504, -0.045], [0.692, 0.321, -0.058]]",<div onclick='submit()'>Send</div>,Keyboard_Trap
node_82365,incorrect,yes,lowered,no,vid_0212,danger,"[0.17, 0.49, 0.27, 0.31]","[[0.657, 0.488, -0.027], [0.394, 0.085, 0.098], [0.328, 0.577, -0.092]]",<span style='color:#ccc;background:#fff'>Text</span>,Low_Contrast
node_10818,no,no,yes,no,vid_0213,train,"[0.5, 0.31, 0.29, 0.36]","[[0.9, 0.933, 0.01], [0.395, 0.298, 0.026], [0.874, 0.68, 0.04]]",<input type='text' placeholder='Search'>,Missing_Form_Label
node_62978,no,no,flush,no,vid_0214,train,"[0.24, 0.27, 0.38, 0.49]","[[0.783, 0.61, -0.065], [0.555, 0.467, 0.003], [0.93, 0.284, -0.074]]",<div onclick='submit()'>Send</div>,Keyboard_Trap
node_88641,incorrect,limited,lowered,no,vid_0215,yes,"[0.11, 0.31, 0.37, 0.37]","[[0.578, 0.17, -0.069], [0.028, 0.955, 0.009], [0.969, 0.58, -0.086]]",<span style='color:#ccc;background:#fff'>Text</span>,Low_Contrast
node_67195,yes,yes,flush,no,vid_0216,thank_you,"[0.3, 0.11, 0.36, 0.22]","[[0.825, 0.089, 0.087], [0.718, 0.409, -0.056], [0.519, 0.754, 0.076]]",<img src='map.png'>,Missing_Alt_Text
node_72098,no,limited,yes,no,vid_0217,help,"[0.38, 0.43, 0.24, 0.33]","[[0.141, 0.506, -0.085], [0.267, 0.274, 0.038], [0.132, 0.068, -0.061]]",<button>Submit</button>,None
node_72262,yes,no,yes,yes,vid_0218,no,"[0.34, 0.41, 0.29, 0.38]","[[0.037, 0.349, -0.092], [0.294, 0.114, 0.053], [0.863, 0.382, -0.043]]",<img src='logo.svg' alt='Company Logo'>,None
node_86428,no,yes,flush,no,vid_0219,stop,"[0.31, 0.3, 0.26, 0.41]","[[0.047, 0.811, 0.004], [0.862, 0.401, -0.061], [0.568, 0.499, -0.08]]",<img src='map.png'>,Missing_Alt_Text
node_78855,yes,no,no,no,vid_0220,no,"[0.12, 0.41, 0.32, 0.29]","[[0.566, 0.105, 0.057], [0.646, 0.526, 0.052], [0.863, 0.995, 0.084]]",<a href='#' class='btn'>Click</a>,Missing_Aria_Label
node_12206,yes,no,no,no,vid_0221,hospital,"[0.11, 0.14, 0.31, 0.44]","[[0.42, 0.246, -0.083], [0.885, 0.778, -0.045], [0.965, 0.903, 0.029]]",<img src='logo.svg' alt='Company Logo'>,None
node_45577,yes,limited,yes,no,vid_0222,yes,"[0.22, 0.16, 0.26, 0.47]","[[0.077, 0.71, 0.042], [0.011, 0.215, 0.063], [0.163, 0.764, 0.019]]",<img src='map.png'>,Missing_Alt_Text
node_15268,no,yes,yes,no,vid_0223,bus,"[0.5, 0.31, 0.17, 0.28]","[[0.469, 0.289, -0.016], [0.296, 0.538, -0.084], [0.246, 0.5, -0.033]]",<input type='text' placeholder='Search'>,Missing_Form_Label
node_38425,no,no,flush,no,vid_0224,thank_you,"[0.37, 0.41, 0.2, 0.22]","[[0.281, 0.649, 0.065], [0.219, 0.494, 0.021], [0.475, 0.597, -0.016]]",<div onclick='submit()'>Send</div>,Keyboard_Trap
node_18317,no,yes,flush,yes,vid_0225,help,"[0.49, 0.26, 0.17, 0.29]","[[0.285, 0.078, 0.062], [0.245, 0.657, -0.052], [0.19, 0.275, 0.034]]",<button>Submit</button>,None
node_38635,no,yes,flush,no,vid_0226,help,"[0.14, 0.22, 0.33, 0.48]","[[0.835, 0.548, -0.069], [0.165, 0.289, 0.003], [0.058, 0.044, -0.004]]",<img src='map.png'>,Missing_Alt_Text
node_32959,yes,yes,lowered,yes,vid_0227,bus,"[0.6, 0.41, 0.19, 0.47]","[[0.987, 0.347, -0.071], [0.884, 0.061, -0.067], [0.949, 0.104, 0.046]]",<img src='logo.svg' alt='Company Logo'>,None
node_79699,no,yes,yes,no,vid_0228,help,"[0.17, 0.41, 0.29, 0.39]","[[0.162, 0.17, 0.001], [0.374, 0.05, 0.094], [0.889, 0.565, -0.017]]",<span style='color:#ccc;background:#fff'>Text</span>,Low_Contrast
node_93230,no,no,lowered,no,vid_0229,bus,"[0.21, 0.35, 0.28, 0.37]","[[0.916, 0.72, 0.014], [0.878, 0.484, -0.027], [0.071, 0.84, 0.068]]",<input type='text' placeholder='Search'>,Missing_Form_Label
node_42834,no,yes,yes,no,vid_0230,bus,"[0.35, 0.14, 0.35, 0.34]","[[0.506, 0.439, 0.081], [0.441, 0.743, -0.008], [0.586, 0.72, 0.055]]",<img src='map.png'>,Missing_Alt_Text
node_42542,incorrect,limited,flush,no,vid_0231,thank_you,"[0.25, 0.48, 0.25, 0.37]","[[0.535, 0.266, 0.011], [0.073, 0.291, -0.085], [0.99, 0.309, -0.043]]",<a href='#' class='btn'>Click</a>,Missing_Aria_Label
node_66267,yes,yes,flush,no,vid_0232,yes,"[0.31, 0.28, 0.19, 0.39]","[[0.589, 0.752, 0.019], [0.5, 0.683, -0.02], [0.158, 0.107, -0.05]]",<img src='logo.svg' alt='Company Logo'>,None
